INFO 07-08 02:00:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 639.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 639.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 636.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 636.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 627.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 627.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 631.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:18 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 631.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 23.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 628.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:23 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 628.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 624.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:28 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 624.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 623.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:33 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 623.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.5%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 616.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:38 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 616.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 24.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 615.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:43 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 615.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.0%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 614.2 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:48 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 614.2 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 608.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:53 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 608.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 606.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:00:58 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 606.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.7%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 604.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:03 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 604.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.9%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 603.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:08 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 603.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.2%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 599.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
INFO 07-08 02:01:13 [loggers.py:248] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 599.9 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.4%, Prefix cache hit rate: 28.1%, MM cache hit rate: 81.5%
